CITY,TIMEZONE,LATITUDE,LONGITUDE
Soldeu,Europe/Andorra,42.57688,1.66769
El Tarter,Europe/Andorra,42.57952,1.65362
Sant Julia de Loria,Europe/Andorra,42.46372,1.49129
Pas de la Casa,Europe/Andorra,42.54277,1.73361
Ordino,Europe/Andorra,42.55623,1.53319
les Escaldes,Europe/Andorra,42.50729,1.53414
la Massana,Europe/Andorra,42.54499,1.51483
l'Aldosa,Europe/Andorra,42.54391,1.52289
Encamp,Europe/Andorra,42.53474,1.58014
Canillo,Europe/Andorra,42.5676,1.59756
Arinsal,Europe/Andorra,42.57205,1.48453
Andorra la Vella,Europe/Andorra,42.50779,1.52109
Umm Al Quwain City,Asia/Dubai,25.56473,55.55517
Ras Al Khaimah City,Asia/Dubai,25.78953,55.9432
Muzayri`,Asia/Dubai,23.14355,53.7881
Murbah,Asia/Dubai,25.27623,56.36256
Masfut,Asia/Dubai,24.81089,56.10657
Zayed City,Asia/Dubai,23.65416,53.70522
Khawr Fakkan,Asia/Dubai,25.33132,56.34199
Dubai,Asia/Dubai,25.07725,55.30927
Dibba Al-Fujairah,Asia/Dubai,25.59246,56.26176
Dibba Al-Hisn,Asia/Dubai,25.61955,56.27291
Sharjah,Asia/Dubai,25.33737,55.41206
Ar Ruways,Asia/Dubai,24.11028,52.73056
Al Manamah,Asia/Dubai,25.3299,56.02188
Al Fujairah City,Asia/Dubai,25.11641,56.34141
Al Ain City,Asia/Dubai,24.19167,55.76056
Ajman City,Asia/Dubai,25.40177,55.47878
Adh Dhayd,Asia/Dubai,25.28812,55.88157
Abu Dhabi,Asia/Dubai,24.45118,54.39696
Khalifah A City,Asia/Dubai,24.42588,54.605
Bani Yas City,Asia/Dubai,24.30978,54.62944
Musaffah,Asia/Dubai,24.35893,54.48267
Al Shamkhah City,Asia/Dubai,24.39268,54.70779
Reef Al Fujairah City,Asia/Dubai,25.14479,56.24764
Al Wiqan,Asia/Dubai,23.75355,55.32739
Al'Arad,Asia/Dubai,23.8472,55.52719
